serviceType,serviceTitle,description,note,time,season,occurence,occurenceType,price,currency,config,prebookCutOff,Type
Abhishekams,Abhishekam to all 6 Sannadhis,Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":null}","{""summer"":{""morning"":""02:30"",""evening"":null},""winter"":{""morning"":""03:00"",""evening"":null}}","[""DAILY""]","[""DAILY""]",3000,INR,{},0,Requring
Abhishekams,Abhishekam to Lord Sri Ram Parivar,Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":null}","{""summer"":{""morning"":""02:30"",""evening"":null},""winter"":{""morning"":""03:00"",""evening"":null}}","[""DAILY""]","[""DAILY""]",1000,INR,{},0,Requring
Abhishekams,Abhishekam to any one Sannadhi,Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":null}","{""summer"":{""morning"":""02:30"",""evening"":null},""winter"":{""morning"":""03:00"",""evening"":null}}","[""DAILY""]","[""DAILY""]",400,INR,{},0,Requring
Abhishekams,Abhishekam to Navagraham,Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":null}","{""summer"":{""morning"":""02:30"",""evening"":null},""winter"":{""morning"":""03:00"",""evening"":null}}","[""DAILY""]","[""DAILY""]",1000,INR,{},0,Requring
Abhishekams,Abhishekam to Lord Ranganathar,Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":""04:00"",""evening"":null}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""MONTHLY_3RD_SUNDAY""]","[""MONTHLY_DAYS""]",500,INR,{},0,Requring
Abhishekams,Abhishekam to any one Graham,Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":null}","{""summer"":{""morning"":""02:30"",""evening"":null},""winter"":{""morning"":""03:00"",""evening"":null}}","[""DAILY""]","[""DAILY""]",400,INR,{},0,Requring
Abhishekams,Abhishekam to Rahu Ketu (on Amavasya Day),Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":null}","{""summer"":{""morning"":""02:30"",""evening"":null},""winter"":{""morning"":""03:00"",""evening"":null}}","[""AMAVASYA""]","[""CUSTOM_DATE_PICKER""]",400,INR,{},0,Requring
Abhishekams,Pradosham,Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":""12:00""}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""""]",[],300,INR,{},0,Requring
Abhishekams,Sankata Hara Chathurthi (Vidya Ganapathy),Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":""11:30""}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""""]",[],300,INR,{},0,Requring
Abhishekams,Sankata Hara Chathurthi (Amrutha Ganapathy),Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":""12:00""}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""""]",[],300,INR,{},0,Requring
All Homam,Ganapathy homam,Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":""03:30"",""evening"":null}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""MONTHLY_1ST_SUNDAY""]","[""MONTHLY_DAYS""]",750,INR,{},0,Requring
All Homam,Navagraha Homam,Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":""03:30"",""evening"":null}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""MONTHLY_1ST_SUNDAY""]","[""MONTHLY_DAYS""]",1000,INR,{},0,Requring
All Homam,Ganapathy & Navagraha Homam,Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":""03:30"",""evening"":null}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""MONTHLY_1ST_SUNDAY""]","[""MONTHLY_DAYS""]",1500,INR,{},0,Requring
All Homam,Lagunyasa Rudra Japam & Abhishekam to all Deities,Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":""02:00"",""evening"":null}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""MONTHLY_2ND_SUNDAY""]","[""MONTHLY_DAYS""]",1000,INR,{},0,Requring
All Homam,Ayushya Homam,Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":""03:00"",""evening"":null}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""DAILY""]","[""DAILY""]",4000,INR,{},0,Requring
Vadamalai,Vadamalai (108 pieces),Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":""13:00""}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""DAILY""]","[""DAILY""]",600,INR,{},2,Requring
Vadamalai,Vadamalai (54 pieces),Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":""13:00""}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""DAILY""]","[""DAILY""]",400,INR,{},2,Requring
Archanai,Special Vilva Archanai on Pradosham Day,Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":""""}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""""]",[],50,INR,{},0,Requring
Archanai,Sathur coconut,Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":null}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""DAILY""]","[""DAILY""]",40,INR,{},0,Requring
Archanai,Archanai (with coconut),Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":"""",""evening"":""""}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""DAILY""]","[""DAILY""]",50,INR,{},0,Requring
Archanai,Archanai (with Misri ),Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":"""",""evening"":""""}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""DAILY""]","[""DAILY""]",30,INR,{},0,Requring
Vahana Puja,Vahana Puja (4 wheelers),Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":"""",""evening"":""""}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""DAILY""]","[""DAILY""]",600,INR,{},0,Requring
Vahana Puja,Vahana Puja ( 2 Wheelers),Temple will do a sankalpam for you and your family details provided on the profile,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":"""",""evening"":""""}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""DAILY""]","[""DAILY""]",300,INR,{},0,Requring
Annadhanam,2nd Sunday Annadhanam (Bhandara) Rice Items,Annadhanam will be done to people outside the temple,The devotee can advise the temple authority their preference of rice,"{""morning"":""06:00"",""evening"":null}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""MONTHLY_2ND_SUNDAY""]","[""MONTHLY_DAYS""]",7500,INR,{},1,Requring
Annadhanam,2nd Sunday Annadhanam (Bhandara) Puri Subji,Annadhanam will be done to people outside the temple,The devotee can advise the temple authority their preference of rice,"{""morning"":""06:00"",""evening"":null}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""MONTHLY_2ND_SUNDAY""]","[""MONTHLY_DAYS""]",15000,INR,{},1,Requring
Annadhanam,2nd Sunday Annadhanam (Bhandara) Puri Subji with Halwa,Annadhanam will be done to people outside the temple,The devotee can advise the temple authority their preference of rice,"{""morning"":""06:00"",""evening"":null}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""MONTHLY_2ND_SUNDAY""]","[""MONTHLY_DAYS""]",20000,INR,{},1,Requring
Annadhanam,Any Day Annadhanam (Bhandara) Rice Items with Kheer,Annadhanam will be done to people outside the temple,The devotee can advise the temple authority their preference of rice,"{""morning"":""05:30"",""evening"":null}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""DAILY""]","[""DAILY""]",9000,INR,{},1,Requring
Annadhanam,Any Day Annadhanam on any day (only Rice Item),Annadhanam will be done to people outside the temple,The devotee can advise the temple authority their preference of rice,"{""morning"":""05:30"",""evening"":null}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""DAILY""]","[""DAILY""]",4000,INR,{},1,Requring
Annadhanam,Any Day Annadhanam (Bhandara) Halwa / Kheer,Annadhanam will be done to people outside the temple,The devotee can advise the temple authority their preference of rice,"{""morning"":""05:30"",""evening"":null}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""DAILY""]","[""DAILY""]",5000,INR,{},1,Requring
Evening Prasadam,Kesari (Suji Halwa) - 1 Kg (Available Daily),Kesari will be distributed to public after Deeparadhanai in the evening,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":""13:00""}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""DAILY""]","[""DAILY""]",1000,INR,{},0,Requring
Evening Prasadam,Sakkarai Pongal - 1 Kg (Available Daily),Sakkarai Pongal will be distributed to public after Deeparadhanai in the evening,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":""13:00""}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""DAILY""]","[""DAILY""]",750,INR,{},0,Requring
Evening Prasadam,Kalkandu (Misri) Rice - 1 Kg (Available Daily),Kalkandu  will be distributed to public after Deeparadhanai in the evening,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":""13:00""}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""DAILY""]","[""DAILY""]",750,INR,{},0,Requring
Evening Prasadam,Kheer (2 litre Milk) (Available Daily),Kheer  will be distributed to public after Deeparadhanai in the evening,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":""13:00""}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""DAILY""]","[""DAILY""]",2500,INR,{},0,Requring
Evening Prasadam,Ven Pongal - 1 Kg (Available every Monday),Ven Pongal  will be distributed to public after Deeparadhanai in the evening,Temple will do a sankalpam for you and your family details provided on the profile,"{""morning"":null,""evening"":""13:00""}","{""summer"":{""morning"":null,""evening"":null},""winter"":{""morning"":null,""evening"":null}}","[""EVERY_MONDAY""]","[""WEEKLY""]",500,INR,{},0,Requring
